"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"BBVA",1.17,0.23,2.36,2,3.39,1.88,8973,1.61,141353.07,2.21,42.26,83.38,7.39,12.74,2016-04-30,187.89,13.89,44.77,26.92,1.73,22.55
"BCP",1.03,0.21,2.72,2.01,2.3,2.95,3685,0.82,160295.72,2.87,38.52,79.98,8.12,10.37,2016-04-30,145.56,15,41.96,24.62,2.24,23.25
"BIF",1.91,0.73,2.07,1.78,3.39,1.42,5938,1.86,85762.32,2.42,45.12,86.73,8.27,15.34,2016-04-30,175.43,12.51,47.19,13.35,0.99,13.55
"Cencosud",0,0,4.98,3.78,0,4.98,565,1.02,6857.65,30.37,71.74,84.74,45.92,2.55,2016-04-30,146.7,22.05,223.01,101.92,1.4,5.32
"Citibank",1.04,0.17,0,0,0,0,5168,0,4993981.47,3.48,61.06,91.03,8.28,8.4,2016-04-30,0,19.8,118.3,37.1,4.81,31.74
"Deutsche",16.68,572.23,0,NA,0,0,0,0,208.77,9.43,193.02,47.38,24.18,0.1,2016-04-30,0,46.31,36006.83,1808.22,8.18,17.42
"Falabella",0,0,4.8,4.39,12.67,4.66,1528,1.68,32294.57,10.9,52,87.64,24.8,6.96,2016-04-30,166.34,14.73,94.7,31.37,2.58,18.63
"GNB",2,1.58,2,1.82,3.88,1.32,6300,0.83,270253.19,2.9,53.33,89.07,8.2,7.32,2016-04-30,172.04,12.45,49.81,16.65,1.02,9.08
"ICBC",2.43,2.37,2.79,2.79,0,9.55,3444,0,189505.2,4.42,462.36,90.6,3.71,1.93,2016-04-30,124.38,42.37,75.78,390.15,-3.25,-12.6
"Interbank",1.38,0.28,2.43,2.26,2.65,2.36,3610,1.09,82898.05,3.51,41.02,87.24,11.15,11.12,2016-04-30,188.45,16.39,57.4,28.55,2.18,25.17
"Mibanco",66.86,15.26,4.7,3,15.61,4.38,769,1.08,17795.85,8.45,59.69,97.68,19.59,8.67,2016-04-30,152.91,15.76,34.32,36.43,2.05,17.06
"Pichincha",3.08,1.59,3.83,3.14,4.34,3.58,3343,1.76,56080.83,4.08,61.45,88.65,11.06,10.81,2016-04-30,110.11,12.09,23.12,16.48,0.71,9.09
"Ripley",0,0,2.8,2.36,0,2.8,966,0.29,33453.26,15.61,58.18,88.91,32.26,6.49,2016-04-30,232.73,14.96,369.39,31.7,3.83,19.33
"Santander",2.91,1.74,0.64,0.5,1.09,0.27,33851,0.35,2860434.08,1.14,36.77,80.04,4.64,9.21,2016-04-30,332.47,14.86,55.79,16.44,1.35,13.89
